,surface,series,order_surfaces,isBasement,isFault,isActive,hasData,color,vertices,edges,sfai,id
10,Thrust1_south,Thrust1_series,1,False,True,True,True,#d65f5f,"[[16712.64526367 10000.           475.        ]
 [16730.         10000.           448.21929932]
 [16730.          9697.17806036   475.        ]
 ...
 [27930.         17272.72727273 -2235.0730896 ]
 [27930.         18567.58117676 -2225.        ]
 [27930.         19090.90909091 -2220.84236145]]","[[   2    1    0]
 [   1    3    0]
 [   6    5    4]
 ...
 [3450 3471 3473]
 [3474 3450 3473]
 [3452 3450 3474]]",1.5222464926567034,1
11,Thrust2_south,Thrust2_series,1,False,True,True,True,#956cb4,"[[19219.52880859  8181.81818182   475.        ]
 [19250.          8181.81818182   448.72283936]
 [19250.          7954.04607599   475.        ]
 ...
 [27930.         18607.4291576  -1625.        ]
 [27815.09429932 19090.90909091 -1575.        ]
 [27930.         19090.90909091 -1600.47187805]]","[[   2    1    0]
 [   4    3    0]
 [   0    3    2]
 ...
 [2878 2903 2904]
 [2877 2903 2878]
 [2904 2879 2878]]",-269.3523726578298,2
0,Fault2,Fault2_series,1,False,True,True,True,#015482,"[[ 8888.79730225  6363.63636364   675.        ]
 [ 8890.          6363.63636364   668.1602478 ]
 [ 8890.          6336.64477955   675.        ]
 ...
 [11470.27908325 19090.90909091 -6475.        ]
 [11430.60714722 19090.90909091 -6375.        ]
 [11410.8203125  19090.90909091 -6325.        ]]","[[   2    1    0]
 [   5    4    3]
 [   7    6    3]
 ...
 [2734 2718 2717]
 [2734 2717 2733]
 [2734 2720 2718]]",1.1233588394406298,3
1,Fault5,Fault5_series,1,False,True,True,True,#9f0052,"[[13370.           909.09090909 -6426.30705833]
 [13333.4715271    909.09090909 -6475.        ]
 [13370.          1614.81152881 -6475.        ]
 ...
 [17994.49890137 13636.36363636   475.        ]
 [18020.28320312 13636.36363636   525.        ]
 [17995.61828613 15454.54545455   525.        ]]","[[   2    1    0]
 [   5    4    3]
 [   0    6    2]
 ...
 [2718 2720 2698]
 [2718 2719 2720]
 [2720 2702 2698]]",-0.30477602731667197,4
2,Fault6,Fault6_series,1,False,True,True,True,#ffbe00,"[[16375.97961426   909.09090909 -6425.        ]
 [16343.33587646   909.09090909 -6475.        ]
 [16423.94973755  2727.27272727 -6425.        ]
 ...
 [20729.31610107 11818.18181818   425.        ]
 [20664.81262207 13636.36363636   375.        ]
 [20688.23852539 13636.36363636   425.        ]]","[[   2    1    0]
 [   3    1    2]
 [   6    5    4]
 ...
 [2515 2492 2488]
 [2492 2515 2495]
 [2495 2515 2516]]",-0.49084928073177453,5
7,Tertiary,Post_tectonic_series,1,False,False,True,True,#4878d0,"[[ 7402.10319519   909.09090909   725.        ]
 [ 7490.          1078.64886522   725.        ]
 [ 7490.           909.09090909   717.98782349]
 ...
 [27930.         19090.90909091 -1623.35166931]
 [27921.99768066 19090.90909091  -775.        ]
 [27930.         19090.90909091  -776.25274658]]","[[   2    1    0]
 [   4    3    2]
 [   2    3    1]
 ...
 [8047 8042 8048]
 [8047 8018 8012]
 [8047 8012 8041]]",1.1970699591562954,6
9,Pink,Post_tectonic_series,2,False,False,True,True,#6acc64,"[[  630.           909.09090909   509.54971313]
 [  630.          2727.27272727   522.35488892]
 [  770.           909.09090909   498.27423096]
 ...
 [27901.45568848 19090.90909091 -1575.        ]
 [27930.         19090.90909091 -1585.54344177]
 [27930.         19090.90909091 -1400.78620911]]","[[   2    1    0]
 [   3    1    2]
 [   4    3    2]
 ...
 [7680 7722 7679]
 [7719 7682 7677]
 [7724 7682 7719]]",1.1765434473094387,7
8,Orange,Post_tectonic_series,3,False,False,True,True,#ee854a,"[[   70.         17272.72727273   308.79745483]
 [   70.         19090.90909091   301.52206421]
 [  210.         17272.72727273   297.74780273]
 ...
 [27930.         17272.72727273 -1621.93527222]
 [27930.         17384.2013966  -1675.        ]
 [27930.         17279.1706432  -1625.        ]]","[[   2    1    0]
 [   3    1    2]
 [   6    5    4]
 ...
 [5012 5011 4979]
 [4979 4978 5010]
 [4979 5010 5012]]",1.1692991479802144,8
6,Mesozoic,Detachement,1,False,False,True,True,#5DA629,,,1.0457513788951847,9
5,Upper-filling,Syn_tectonic_series2,1,False,False,True,True,#ff3f20,"[[ 8890.          9041.03279114  -825.        ]
 [ 8890.          9768.35077459  -775.        ]
 [ 8912.08702087 10000.          -775.        ]
 ...
 [17169.40979004 11818.18181818 -1025.        ]
 [17177.14828491 11818.18181818  -975.        ]
 [17155.06500244 13636.36363636  -975.        ]]","[[   2    1    0]
 [   2    0    3]
 [   2    4    1]
 ...
 [2968 2984 2969]
 [2984 2986 2969]
 [2984 2985 2986]]",0.909797784097589,10
4,Middle-filling,Syn_tectonic_series1,1,False,False,True,True,#443988,"[[ 8927.01393127  8181.81818182  -475.        ]
 [ 9030.          6862.26064509  -425.        ]
 [ 8925.88653564  8181.81818182  -425.        ]
 ...
 [17323.13934326 11818.18181818  -825.        ]
 [17326.88308716 13636.36363636  -875.        ]
 [17334.14840698 13636.36363636  -825.        ]]","[[   2    1    0]
 [   0    1    3]
 [   6    5    4]
 ...
 [2839 2836 2837]
 [2838 2836 2839]
 [2838 2826 2822]]",0.315372088172603,11
3,Lower-filling,Pre_tectonic_series,1,False,False,True,True,#728f02,"[[ 9024.64607239  8181.81818182  -525.        ]
 [ 9030.          8181.81818182  -526.83792114]
 [ 9030.          8117.86911704  -525.        ]
 ...
 [20141.90612793 10000.          -875.        ]
 [20127.67883301 11818.18181818  -975.        ]
 [20138.9730835  11818.18181818  -925.        ]]","[[   2    1    0]
 [   4    3    0]
 [   0    3    2]
 ...
 [5352 5341 5338]
 [5341 5352 5344]
 [5344 5352 5353]]",-0.6276474011611872,12
12,basement,Basement,1,True,False,True,False,#8c613c,,,,13
